# File: FAO_CL_kha_RESOURCESTAT.csv
# Title: FAO cropland area by country_year
# Units: 1000 Ha
# Description:  Data is cleaned and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:RL FAO.udpate:2021-06-17T00:00:00)
# Date of CSV last update: 2022-04-13
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
72,Djibouti,6621,Arable land,5110,Area,1000 ha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1.5,1.2,1.3,1.6,2,2,2,2,2,2,2,2,2
73,Georgia,6621,Arable land,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,795,795,795,771,781,785,792,790,793,795,799,802,452,470,462,463,459,433,395,377.4,370,415.7,365,367.7,344,324,311,307
74,Gabon,6621,Arable land,5110,Area,1000 ha,210,220,232,258,273,287,288,290,290,290,290,290,290,290,290,290,290,295,295,295,295,295,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
75,Gambia,6621,Arable land,5110,Area,1000 ha,143,170,164,163,170,177,166,159,181,202,183,169,169,177,184,199,181,187,196,162,161,180,185,190,205,200,240,280,300,280,300,310,325,293,303,372,428,450,450,440,440,440,440,440,440,440,440
79,Germany,6621,Arable land,5110,Area,1000 ha,11990,12020,12041,12087,12071,12086,12057,12030,12004,11975,11967,11952,11957,11960,11945,11948,11949,11971,11559,11467,11676,11805,11835,11835,11832,11879,11822,11804,11813,11791,11827,11898,11904,11866,11877,11932,11945,11846,11875,11834,11876,11869,11846,11763,11772,11731,11714
80,Bosnia and Herzegovina,6621,Arable land,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,850,850,850,850,900,900,950,950,1000,1010,997,1017,1028,1025,1027,1022,1008,997,1004,1005,1003,1009,1006,1022,1026,1060,1029,1015
81,Ghana,6621,Arable land,5110,Area,1000 ha,1700,1700,1800,1800,1800,1900,1900,1900,1900,2100,2100,2300,2400,2400,2500,2600,2600,2700,2800,2800,2800,2800,3000,3200,3600,3800,3850,3950,4060,4181,4185,4130.6901,4076.3801,4022.0702,3967.7602,3913.4503,3859.1404000000002,3804.8304,3750.5205,3696.2106,3641.9006,3587.5907,3533.2807,3478.9708,3424.6609,3370.3509,3316.041
83,Kiribati,6621,Arable land,5110,Area,1000 ha,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
84,Greece,6621,Arable land,5110,Area,1000 ha,2957,2948,2908,2888,2868,2923,2929,2903,2925,2928,2900,2922,2890,2879,2870,2863,2893,2899,2867,2864,2839,2836,2821,2810,2789,2784,2762,2741,2720,2717,2712,2629,2639,2584,2567,2556,2547,2567,2552,2540,2510,2224,2171,2140,2138,2136.6,2136.6
86,Grenada,6621,Arable land,5110,Area,1000 ha,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
