# File: FAO_Fert_Prod_tN_RESOURCESTAT.csv
# Title: FAO fertilizer production by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
60,El Salvador,3102,Nutrient nitrogen N (total),5510,Production,tonnes,7000,7000,5300,4455,12400,24449,15000,13602.125,12204.25,10806.375,9408.5,8010.625,6612.75,5214.875,3817,7729,5453,11169,9195,7615,6853.5,6092,5330.5,4569,3807.5,3046,2284.5,1523,761.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Ethiopia PDR,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Estonia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,41900,16100,50928,55800,52300,41800,29300,40358,37878,39517,24264,34000,66601,100985,99350,96405,91750,9784,721,261,264,365,241.8,118.59,111.22,247.9,263.98,263.98
66,Fiji,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Finland,3102,Nutrient nitrogen N (total),5510,Production,tonnes,243556,252212,202047,190351,185437,246194,259504,266200,235700,262610,301913,302728,282000,287000,281200,281100,277610,268000,191900,224000,237000,235000,247000,231000,238000,227000,236000,253000,263000,267709.54,190123.83,251045.69,262213.12,229908.33,279459.64,305032.44,256052.27,312274,261087.29,298159.01,370900.61,203117.7,283410.19,250602.14,195806.73,195806.73,195806.73
68,France,3102,Nutrient nitrogen N (total),5510,Production,tonnes,1642300,1694100,1361000,1462000,1470000,1781000,1780000,1640200,1553000,1583000,1728000,1779000,1628000,1704000,1540000,1675000,1572000,1524000,1636000,1333000,1524000,1493000,1490000,1616000,1484000,1436000,1422800,983000,1106000,1101414.37,1030127.14,1074917.74,985119.09,1430539.14,1792211.75,1553683.99,1360195.49,1358154.38,324190.98,345291.89,524849.62,279091.48,469045.1,361926.38,354212.38,579589.3,512493.36
70,French Polynesia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Georgia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,75900,58600,34000,42500,53700,76300,55300,93900,100000,39100,83000,76903,94075,110403,127478,131822,131178.72,130050.74,142913.64,164300.58,156316.51,161345.68,163686.17,161707.4,122969.63,137415.56,169716.38,173567.14
74,Gabon,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Gambia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
