# File: FAO_Fert_Cons_tN_RESOURCESTAT.csv
# Title: FAO fertilizer consumption (Ag use) by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
56,Dominican Republic,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,40625,46700,30000,35000,32000,27878,34325,28200,31400,30700,25000,31300,33000,31000,34800,26602,39166,47002,51000,42700,39900,45700,50000,50000,55400,51300,52900,48500,60018,51430,40693,41808,36841,49254,44450,43134,45787,54065,45215,33805,36689,43907.04,60652.57,65587.84,70494.35,89635.22,89635.22
57,Belarus,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,,,,,,,,,,,,,,,,,,,,250000,227000,200000,230000,260000,280000,280000,286000,280000,290000,247200,310000,346300,406000,479300,447300,523500,553600,529900,601100,557307,534836,456071,443777,348508,406846,404895,407293
58,Ecuador,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,28700,22138,13549,49500,58259,40367,43332,40700,34800,33200,47000,43000,43238,31077,27748,32001,45803,39421,44700,42700,49000,48000,56000,65000,90600,88100,69800,71600,226367,132311,119857,135632,116291,126268,118168,156382,151261,159096,178586,172934.27,161466.05,173443.72,138617.44,196435.87,200593.86,219923.07,208212.58
59,Egypt,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,358161,360000,415000,427724,459504,490461,500000,554000,585000,631900,610000,594000,640300,795500,786500,794500,754116,745146,775000,743742,849538,720736,970000,1002600,915000,1014000,984400,1073416,1099000,1151300,1190800,1372900,1309000,1239000,1120000,1139100,1193200,1158700,1207000,1086800,1104100,1124600,1219300,1280500,1314900,1245300,1245300
60,El Salvador,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,68000,62500,65000,77106,77118,84192,50600,47649,66521,44209,59376,39831,61151,49120,64471,67808,56155,52717,55403,53669,52720,46000,41887,60000,72100,57000,56808,48453,48274,34510,36496,46957,68253,52360,64920,74283,65253,73674,82652,71085.4,69169.06,49633.45,58092.6,47349.49,34304.68,54274.12,25165.67
62,Ethiopia PDR,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,6074,7987,11000,11000,7344,9851,16000,16000,16000,14300,16500,13000,5000,12400,19900,30200,38000,42100,26500,30100,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Estonia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,,,,,,,,,,,,,,,,,,,,39000,29945,26384,19000,16600,20471,24932,19550,22390,19603,16700,23255,24833,20083,22610,24982,35455,27328,28628,29803,32978,33659,35806,36276,36390,37333,38867,41438
66,Fiji,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,6798,9152,7200,9000,9900,9000,12100,10800,12800,10300,7500,10100,7800,11300,10600,10100,13200,12000,10000,8500,9000,9000,10000,10000,10200,8900,6400,2500,5000,9377,3178,7659,6593,4220,4025,6758,2747,2435,3533,3963.5,3707.92,2787.9,5831.63,4219.75,5064.69,3003.77,4253.48
67,Finland,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,206660,226442,199315,161377,168385,183322,196241,196936,183581,215991,204775,196060,202170,212300,214586,211207,231361,206400,166450,174000,171000,183000,183020,174000,177000,175000,176000,167000,165000,179000,163880,173881,192488,158282,184209,223830,172814,210967,138900,138900,138136,147373,143479,138128,138948,138385,146798
68,France,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1833083,1554800,1707800,1815000,1831700,1978000,2134800,2146500,2193000,2196000,2320000,2337000,2408000,2568400,2557100,2605000,2660000,2492000,2569000,2154000,2222000,2308300,2391700,2523900,2513100,2488100,2571400,2316300,2397000,2203200,2375400,2324000,2205000,2204665,2402000,2099000,1900820,2043000,1944450,2024929,2168441,2159477,2239842,2191727,2233881,2248277,2130800
70,French Polynesia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,50,50,100,194,206,317,255,258,276,343,394,800,400,300,300,300,300,300,300,400,400,400,400,400,400,400,494,500,381,388,335,383,293,320,333,454,270,359,349,247.97,246.84,227.27,343.26,256,377.32,236.85,380.76
73,Georgia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,,,,,,,,,,,,,,,,,,,,62000,48900,26000,26000,27200,31500,30000,40000,40000,26000,21400,11124,14100,24117,21410,18451,17377,19651.5,17042,14760.5,17617.5,22601,17693,17361.5,18075,14334.5,14889,12850
74,Gabon,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,21,30,300,377,100,100,92,100,796,200,600,500,500,1094,813,330,400,136,200,100,100,100,100,100,100,100,100,100,100,553,190,680,580,799,890,820,883,593,381,1300.34,1277.23,1852.11,3879.5,3664.79,7746.13,6212.91,5763.53
