# File: FAO_an_Dairy_Stocks.csv
# Title: FAO all animal stock by area_item_year
# Units: Head
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:QCL FAO.udpate:2022-02-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Botswana,882,"Milk, whole fresh cow",Milk Animals,5318,Head,195000,192000,200000,215000,230000,240000,250000,260000,260000,270000,280000,270000,275000,280000,285000,290000,305000,320000,340000,270000,225000,265000,300000,270000,275000,270000,280000,340000,335000,271018,290000,295000,300000,290000,290002,309000,321000,340084,327000,330000,330000,240000,244689,225000,165000,169959,200521,192361
20,Botswana,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,93000,95000,97000,100000,103000,105000,107000,110000,113000,115000,117000,120000,123000,125000,128000,130000,132000,134000,139000,134000,129000,130000,155000,135000,155000,135000,120000,133731,115000,105000,90000,100000,120000,154000,155000,133143,156000,136400,162200,164000,165000,118735,95859,103952,95622,102486,97447,101280
21,Brazil,882,"Milk, whole fresh cow",Milk Animals,5318,Head,9750000,10838540,12293660,12852014,14138181,14150233,14899088,16512969,16491672,16386690,16276361,16742910,17000000,17600000,17774144,18053632,18672992,19072912,19964100,20476000,20023100,20068300,20579212,16273667,17048232,17280606,17395658,17885020,18193952,19005200,19255642,20022724,20625924,20942812,21122318,21585280,22435289,22924914,23229193,22803519,22954537,23027951,21110916,19559095,16851782,16353091,16305365,16167625
21,Brazil,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,2750000,2860000,2800000,3000000,3000000,3100000,3200000,3500000,3500000,3600000,3600000,3800000,4000000,4200000,4300000,4700000,4700000,4750000,4850000,5622821,4800000,4750000,4700000,3633236,3866047,3952730,4152369,4900000,4600000,4503730,4500000,4770801,4883147,4925610,4550000,4485465,4405661,4471830,4977000,5000000,5100000,4282330,4615014,4701189,4891493,5191597,5479759,5677073
23,Belize,882,"Milk, whole fresh cow",Milk Animals,5318,Head,3600,3600,3600,3600,3700,3700,3800,3800,4000,4300,4900,5300,5400,6300,5500,5600,3024,1200,2080,2490,1200,2100,1200,1610,3000,3006,2665,2300,2064,3560,3550,3550,2741,3028,3914,3592,3877,3900,4000,5000,5000,4900,5700,5500,6500,5900,5967,6122
25,Solomon Islands,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1400,1500,1600,1700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2042,1998,1999,2000,1700,2000,2003,2004,2005,2006,2007,2008,2009,2100,2064,2065,2119,2200,2200,2200,2200,2200,2210,2200,2233,2238,2240,2256,2265,2273,2281
26,Brunei Darussalam,882,"Milk, whole fresh cow",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,230,270,260,230,170,150,90,85,139,130,130,105,100,100,100,123,126,112,115,109,105
26,Brunei Darussalam,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,600,640,560,520,520,520,560,540,480,480,480,480,480,200,200,200,200,204,239,232,220,223,236,239,296,295,293,274,291,286,296,261,264,261,277,213,228,250,200,180,175,187,204,197,194,180,179,179
27,Bulgaria,882,"Milk, whole fresh cow",Milk Animals,5318,Head,577057,598943,620958,649018,654436,684849,695841,698776,701734,694066,684623,666491,647164,632086,625194,632359,605930,596566,574024,486644,418940,349281,350533,369768,356644,387055,421428,430983,416299,358649,358178,361846,368719,347754,350144,335866,314668,296757,308165,306843,288749,307097,295374,276160,271329,244360,226690,241940
27,Bulgaria,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,33387,32956,32670,30559,28443,25882,24327,21280,19299,17425,15820,14395,12608,11391,10328,10805,10300,11611,11612,12967,11178,9669,7142,7016,6693,6305,6196,5358,4850,3605,3927,4542,4056,4747,4825,5153,5311,4997,5444,6339,5740,6154,6339,6796,7589,8720,10309,11471
