# File: GCAMLandProfit.csv
# Title: GCAM Land Profit from model results
# Units: NA
# Author: XZ
# Description: We pull results to compare unmanaged land value from different sources
# Source: GCAM
# Column types: ccnn
# ----------
region,LandLeaf,Tkm2,Rent_DollarPerTkm2
Africa_Eastern,FruitsTree_ShebJubR_IRR_lo,0.0331992,6934790
Africa_Eastern,FruitsTree_ShebJubR_RFD_hi,0.121425,2.40E+07
Africa_Eastern,FruitsTree_ShebJubR_RFD_lo,0.121425,1.60E+07
Africa_Eastern,Fruits_AfrCstE_IRR_hi,0.0023526,2.49E+07
Africa_Eastern,Fruits_AfrCstE_IRR_lo,0.0023526,1.66E+07
Africa_Eastern,Fruits_AfrCstE_RFD_hi,0.02936,1.52E+07
Africa_Eastern,Fruits_AfrCstE_RFD_lo,0.02936,1.01E+07
Africa_Eastern,Fruits_AfrCstNE_IRR_hi,0,0
Africa_Eastern,Fruits_AfrCstNE_IRR_lo,0,0
Africa_Eastern,Fruits_AfrCstNE_RFD_hi,5.26E-05,3732890
Africa_Eastern,Fruits_AfrCstNE_RFD_lo,5.26E-05,2475290
Africa_Eastern,Fruits_LChad_IRR_hi,0,0
Africa_Eastern,Fruits_LChad_IRR_lo,0,0
Africa_Eastern,Fruits_LChad_RFD_hi,5.87E-04,3915820
Africa_Eastern,Fruits_LChad_RFD_lo,5.87E-04,2611150
Africa_Eastern,Fruits_Madagascar_IRR_hi,0,0
Africa_Eastern,Fruits_Madagascar_IRR_lo,0,0
Africa_Eastern,Fruits_Madagascar_RFD_hi,0.065194,3624700
Africa_Eastern,Fruits_Madagascar_RFD_lo,0.065194,2416460
Africa_Eastern,Fruits_NileR_IRR_hi,0.0013911,1.82E+07
Africa_Eastern,Fruits_NileR_IRR_lo,0.0013911,1.22E+07
Africa_Eastern,Fruits_NileR_RFD_hi,0.0440169,8482740
Africa_Eastern,Fruits_NileR_RFD_lo,0.0440169,5655170
Africa_Eastern,Fruits_RiftValley_IRR_hi,2.96E-04,6.09E+07
Africa_Eastern,Fruits_RiftValley_IRR_lo,2.96E-04,4.06E+07
Africa_Eastern,Fruits_RiftValley_RFD_hi,0.0154451,3.04E+07
Africa_Eastern,Fruits_RiftValley_RFD_lo,0.0154451,2.03E+07
Africa_Eastern,Fruits_ShebJubR_IRR_hi,9.59E-05,1.55E+08
Africa_Eastern,Fruits_ShebJubR_IRR_lo,9.59E-05,1.03E+08
Africa_Eastern,Fruits_ShebJubR_RFD_hi,0.005236,7.96E+07
Africa_Eastern,Fruits_ShebJubR_RFD_lo,0.005236,5.31E+07
Africa_Eastern,Grassland_AfrCstE,47.2968,742597
Africa_Eastern,Grassland_AfrCstNE,11.0843,759432
Africa_Eastern,Grassland_AfrIntN,0.07964,2.03E+07
Africa_Eastern,Grassland_CongoR,3.79252,718217
Africa_Eastern,Grassland_LChad,6.50512,868973
Africa_Eastern,Grassland_Madagascar,73.1335,1628720
Africa_Eastern,Grassland_NileR,404.412,542820
Africa_Eastern,Grassland_RiftValley,60.4229,2150230
Africa_Eastern,Grassland_ShebJubR,135.382,2989280
Africa_Eastern,Legumes_AfrCstE_IRR_hi,0,0
Africa_Eastern,Legumes_AfrCstE_IRR_lo,0,0
Africa_Eastern,Legumes_AfrCstE_RFD_hi,3.06949,4942050
